brand,model,transmission,make_year,reg_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
Toyota,Glanza V AMT,Automatic,2024,,Petrol,1197.0,10441,1st owner,1015000,19320,True,No,KA41,2024 Toyota Glanza V AMT
Tata,NEXON FEARLESS + SUNROOF DCA DUAL TONE 1.2 PETROL,Automatic,2024,,Petrol,,11540,1st owner,1399000,26629,True,Yes,MH46,2024 Tata NEXON FEARLESS + SUNROOF DCA DUAL TONE 1.2 PETROL
Hyundai,NEW I20 Sportz (O) 1.2 IVT,Automatic,2024,1/4/2024,Petrol,,3295,1st owner,974000,18535,True,Yes,DL10,2024 Hyundai NEW I20 Sportz (O) 1.2 IVT
Volkswagen,VIRTUS HIGHLINE TSI 1.0 AT,Automatic,2023,1/5/2023,Petrol,999.0,9083,1st owner,1383000,26324,True,No,HR98,2023 Volkswagen VIRTUS HIGHLINE TSI 1.0 AT
Volkswagen,VIRTUS GT PLUS TSI 1.5 EVO DSG,Automatic,2023,,Petrol,1498.0,9765,1st owner,1642000,31254,False,No,MH01,2023 Volkswagen VIRTUS GT PLUS TSI 1.5 EVO DSG
Toyota,Glanza V AMT,Automatic,2023,,Petrol,1197.0,24320,1st owner,988000,18806,False,No,KA01,2023 Toyota Glanza V AMT
Toyota,Glanza V AMT,Automatic,2023,,Petrol,1197.0,7757,1st owner,969000,18438,False,No,KA20,2023 Toyota Glanza V AMT
Tata,TIGOR XZ PLUS CNG,Manual,2023,,CNG,1199.0,3886,1st owner,776000,15171,True,Yes,MH47,2023 Tata TIGOR XZ PLUS CNG
Tata,TIGOR XZ CNG,Manual,2023,,CNG,1199.0,14548,1st owner,743000,14526,True,Yes,MH43,2023 Tata TIGOR XZ CNG
Tata,TIGOR XM PETROL,Manual,2023,1/2/2024,Petrol,1199.0,12096,1st owner,590000,11529,True,No,HR76,2023 Tata TIGOR XM PETROL
Tata,Tiago XZA PLUS PETROL,Automatic,2023,,Petrol,1199.0,2280,1st owner,773000,15112,False,No,KA02,2023 Tata Tiago XZA PLUS PETROL
Tata,Tiago XZA PLUS PETROL,Automatic,2023,,Petrol,1199.0,10526,1st owner,777000,15194,True,No,KA05,2023 Tata Tiago XZA PLUS PETROL
Tata,Tiago XT (O) PETROL,Manual,2023,1/1/2023,Petrol,1199.0,17297,1st owner,574000,11231,True,No,DL3C,2023 Tata Tiago XT (O) PETROL
Tata,Tiago XT (O) PETROL,Manual,2023,,Petrol,1199.0,6593,1st owner,628000,12278,False,No,KA09,2023 Tata Tiago XT (O) PETROL
Tata,Tiago XE PETROL,Manual,2023,1/4/2023,Petrol,1199.0,6676,1st owner,536000,10480,False,No,HR51,2023 Tata Tiago XE PETROL
Tata,TIAGO NRG XZ AMT,Automatic,2023,,Petrol,,2370,1st owner,769000,15038,False,No,KA53,2023 Tata TIAGO NRG XZ AMT
Tata,TIAGO NRG XZ AMT,Automatic,2023,,Petrol,,7402,1st owner,750000,14663,True,No,KA04,2023 Tata TIAGO NRG XZ AMT
Tata,TIAGO EV XT LONG RANGE,Automatic,2023,1/12/2023,Electric,,10423,1st owner,875000,16655,True,No,UP16,2023 Tata TIAGO EV XT LONG RANGE
Tata,PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE,Automatic,2023,,Petrol,1199.0,7511,1st owner,927000,17642,True,Yes,KA53,2023 Tata PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE
Tata,PUNCH CREATIVE  MT,Manual,2023,,Petrol,1199.0,9112,1st owner,841000,16003,False,Yes,KA02,2023 Tata PUNCH CREATIVE  MT
Tata,PUNCH CREATIVE  iRA PACK MT,Manual,2023,,Petrol,1199.0,14518,1st owner,895000,17036,True,Yes,KA36,2023 Tata PUNCH CREATIVE  iRA PACK MT
Tata,PUNCH CREATIVE  AMT,Automatic,2023,,Petrol,1199.0,9870,1st owner,907000,17264,False,Yes,MH05,2023 Tata PUNCH CREATIVE  AMT
Tata,PUNCH ADVENTURE RHYTHM PACK AMT,Automatic,2023,1/10/2023,Petrol,1199.0,16393,1st owner,668000,13056,False,Yes,DL9C,2023 Tata PUNCH ADVENTURE RHYTHM PACK AMT
Tata,PUNCH ACCOMPLISHED MT CNG,Manual,2023,,CNG,,6914,1st owner,864000,16445,True,No,MH02,2023 Tata PUNCH ACCOMPLISHED MT CNG
Tata,PUNCH ACCOMPLISHED AMT,Automatic,2023,,Petrol,1199.0,42764,1st owner,753000,14729,True,No,MH05,2023 Tata PUNCH ACCOMPLISHED AMT
Tata,PUNCH ACCOMPLISHED AMT,Automatic,2023,,Petrol,1199.0,26212,1st owner,736000,14388,True,No,MH04,2023 Tata PUNCH ACCOMPLISHED AMT
Tata,NEXON XZA PLUS SUNROOF PETROL,Automatic,2023,,Petrol,,12971,1st owner,1096000,20863,False,Yes,MH01,2023 Tata NEXON XZA PLUS SUNROOF PETROL
Tata,NEXON XZA PLUS PETROL,Automatic,2023,,Petrol,1199.0,27320,1st owner,1071000,20385,True,Yes,TS04,2023 Tata NEXON XZA PLUS PETROL
Tata,NEXON XZA PLUS DIESEL (L),Automatic,2023,,Diesel,1497.0,25005,1st owner,1376000,26193,True,No,KA51,2023 Tata NEXON XZA PLUS DIESEL (L)
Tata,NEXON XZ PLUS PETROL SUNROOF,Manual,2023,1/5/2023,Petrol,1199.0,24415,1st owner,969000,18444,False,Yes,DL3C,2023 Tata NEXON XZ PLUS PETROL SUNROOF
Tata,NEXON XZ PLUS PETROL SUNROOF,Manual,2023,,Petrol,1199.0,20220,1st owner,1096000,20861,True,No,KA51,2023 Tata NEXON XZ PLUS PETROL SUNROOF
Tata,NEXON XMA PETROL,Automatic,2023,,Petrol,1199.0,7630,1st owner,969000,18437,False,No,KA53,2023 Tata NEXON XMA PETROL
Tata,NEXON XMA PETROL,Automatic,2023,,Petrol,1199.0,4872,1st owner,963000,18330,False,No,TS08,2023 Tata NEXON XMA PETROL
Tata,NEXON XM PLUS SUNROOF PETROL,Manual,2023,,Petrol,1199.0,10718,1st owner,950000,18082,True,No,TS05,2023 Tata NEXON XM PLUS SUNROOF PETROL
Tata,NEXON EV XM,Automatic,2023,1/8/2023,Electric,,40647,1st owner,1411000,26857,True,Yes,UP16,2023 Tata NEXON EV XM
Tata,NEXON CREATIVE PLUS S 1.2 REVOTRON 6 AMT DT,Automatic,2023,,Petrol,,14221,1st owner,1311000,24957,True,Yes,KA53,2023 Tata NEXON CREATIVE PLUS S 1.2 REVOTRON 6 AMT DT
Tata,ALTROZ XZ I-TURBO PETROL,Manual,2023,,Petrol,1199.0,14929,1st owner,897000,17074,True,No,KA18,2023 Tata ALTROZ XZ I-TURBO PETROL
Renault,TRIBER RXZ DUAL TONE,Manual,2023,,Petrol,999.0,25037,1st owner,820000,15606,False,No,TS36,2023 Renault TRIBER RXZ DUAL TONE
Renault,TRIBER RXZ AMT,Automatic,2023,1/6/2023,Petrol,999.0,21044,1st owner,741000,14487,True,No,DL12,2023 Renault TRIBER RXZ AMT
Renault,TRIBER RXZ,Manual,2023,1/3/2023,Petrol,999.0,14050,1st owner,683000,13347,True,Yes,HR26,2023 Renault TRIBER RXZ
Renault,TRIBER RXZ,Manual,2023,,Petrol,999.0,20237,1st owner,752000,14702,False,No,KA21,2023 Renault TRIBER RXZ
Renault,TRIBER RXT,Manual,2023,,Petrol,999.0,20332,1st owner,780000,15254,True,No,KA20,2023 Renault TRIBER RXT
Renault,TRIBER RXL MT,Manual,2023,1/1/2024,Petrol,999.0,6843,1st owner,636000,12428,False,No,HR98,2023 Renault TRIBER RXL MT
Renault,Kwid RXT 1.0 AMT,Automatic,2023,,Petrol,999.0,1343,2nd owner,602000,11769,True,No,KA19,2023 Renault Kwid RXT 1.0 AMT
Renault,Kwid RXT 1.0 AMT,Automatic,2023,,Petrol,999.0,3592,1st owner,568000,11111,False,No,TS08,2023 Renault Kwid RXT 1.0 AMT
Renault,Kwid RXT 1.0,Manual,2023,,Petrol,999.0,1768,1st owner,561000,10968,True,No,KA05,2023 Renault Kwid RXT 1.0
Renault,Kwid RXT 1.0,Manual,2023,,Petrol,999.0,1994,1st owner,552000,10789,True,No,KA51,2023 Renault Kwid RXT 1.0
Renault,Kwid RXT 1.0,Manual,2023,,Petrol,999.0,8333,1st owner,491000,9592,True,Yes,MH46,2023 Renault Kwid RXT 1.0
Renault,Kwid CLIMBER AMT 1.0,Automatic,2023,,Petrol,999.0,3996,1st owner,601000,11750,True,No,KA05,2023 Renault Kwid CLIMBER AMT 1.0
MG,HECTOR SHARP PRO 1.5 TURBO MT PETROL,Manual,2023,,Petrol,1451.0,15940,1st owner,1825000,34733,False,No,KA53,2023 MG HECTOR SHARP PRO 1.5 TURBO MT PETROL
MG,HECTOR SHARP PRO 1.5 PETROL TURBO CVT PETROL,Automatic,2023,,Petrol,,19946,2nd owner,1818000,34599,True,Yes,KA05,2023 MG HECTOR SHARP PRO 1.5 PETROL TURBO CVT PETROL
MG,HECTOR SAVVY PRO 1.5 TURBO CVT PETROL,Automatic,2023,1/2/2023,Petrol,1451.0,30857,1st owner,2004000,38144,True,No,UP16,2023 MG HECTOR SAVVY PRO 1.5 TURBO CVT PETROL
Maruti,XL6 ZETA CNG,Manual,2023,,CNG,,32447,1st owner,1199000,22822,True,Yes,MH04,2023 Maruti XL6 ZETA CNG
Maruti,XL6 ALPHA PLUS MT,Manual,2023,,Petrol,1462.0,21398,1st owner,1161000,22099,True,No,MH04,2023 Maruti XL6 ALPHA PLUS MT
Maruti,Swift ZXI PLUS AMT DUAL TONE,Automatic,2023,,Petrol,1197.0,3451,1st owner,878000,16712,True,No,MH01,2023 Maruti Swift ZXI PLUS AMT DUAL TONE
Maruti,Swift VXI,Manual,2023,1/3/2023,Petrol,1197.0,14887,1st owner,638000,12473,True,No,HR87,2023 Maruti Swift VXI
Maruti,Swift VXI,Manual,2023,,Petrol,1197.0,13001,1st owner,731000,14282,False,Yes,MH47,2023 Maruti Swift VXI
Maruti,S PRESSO VXI PLUS (O) AMT,Automatic,2023,,Petrol,998.0,7370,1st owner,632000,12356,False,Yes,KA05,2023 Maruti S PRESSO VXI PLUS (O) AMT
Maruti,New Wagon-R ZXI 1.2,Manual,2023,,Petrol,1197.0,2896,1st owner,659000,12880,False,No,KA05,2023 Maruti New Wagon-R ZXI 1.2
Maruti,New Wagon-R ZXI 1.2,Manual,2023,,Petrol,1197.0,35595,1st owner,605000,11828,True,Yes,TG10,2023 Maruti New Wagon-R ZXI 1.2
Maruti,New Wagon-R VXI 1.0 AMT,Automatic,2023,,Petrol,998.0,8230,1st owner,707000,13822,True,No,KA51,2023 Maruti New Wagon-R VXI 1.0 AMT
Maruti,New Wagon-R VXI 1.0 AMT,Automatic,2023,,Petrol,998.0,17249,1st owner,702000,13727,False,No,TS08,2023 Maruti New Wagon-R VXI 1.0 AMT
Maruti,New Wagon-R VXI 1.0 AMT,Automatic,2023,,Petrol,998.0,3883,1st owner,696000,13613,True,Yes,MH47,2023 Maruti New Wagon-R VXI 1.0 AMT
Maruti,New Wagon-R LXI 1.0,Manual,2023,,Petrol,998.0,1958,1st owner,582000,11380,True,No,MH47,2023 Maruti New Wagon-R LXI 1.0
Maruti,IGNIS ZETA 1.2 AMT,Automatic,2023,,Petrol,1197.0,5090,1st owner,754000,14741,False,No,KA02,2023 Maruti IGNIS ZETA 1.2 AMT
Maruti,IGNIS ZETA 1.2,Manual,2023,,Petrol,1197.0,19575,1st owner,692000,13525,True,No,KA04,2023 Maruti IGNIS ZETA 1.2
Maruti,Grand Vitara DELTA SMART HYBRID,Manual,2023,,Petrol,1462.0,28842,1st owner,1233000,23469,False,No,TS08,2023 Maruti Grand Vitara DELTA SMART HYBRID
Maruti,Ertiga ZXI+ SHVS,Manual,2023,,Petrol,1462.0,22505,1st owner,1190000,22651,True,Yes,KA03,2023 Maruti Ertiga ZXI+ SHVS
Maruti,Ertiga ZXI+ AT SHVS,Automatic,2023,,Petrol,1462.0,11045,1st owner,1323000,25178,False,No,KA05,2023 Maruti Ertiga ZXI+ AT SHVS
Maruti,Eeco 5 STR AC CNG,Manual,2023,1/4/2023,CNG,1197.0,28162,1st owner,614000,12004,True,No,UP14,2023 Maruti Eeco 5 STR AC CNG
Maruti,Dzire ZXI Plus,Manual,2023,,Petrol,1197.0,13861,1st owner,805000,15322,True,No,TS10,2023 Maruti Dzire ZXI Plus
Maruti,Dzire VXI AMT,Automatic,2023,,Petrol,1197.0,14809,1st owner,807000,15354,False,No,TS08,2023 Maruti Dzire VXI AMT
Maruti,Dzire VXI AMT,Automatic,2023,,Petrol,1197.0,15833,1st owner,780000,15250,False,No,TG08,2023 Maruti Dzire VXI AMT
Maruti,Celerio ZXI AMT,Automatic,2023,,Petrol,998.0,17447,1st owner,612000,11965,True,Yes,TS15,2023 Maruti Celerio ZXI AMT
Maruti,Celerio VXI AMT,Automatic,2023,,Petrol,998.0,3951,1st owner,648000,12669,True,No,KA01,2023 Maruti Celerio VXI AMT
Maruti,BREZZA ZXI SMART HYBRID,Manual,2023,1/4/2023,Petrol,1462.0,8502,2nd owner,994000,18920,True,No,HR87,2023 Maruti BREZZA ZXI SMART HYBRID
Maruti,BREZZA ZXI SMART HYBRID,Manual,2023,1/1/2024,Petrol,1462.0,7048,1st owner,1176000,22388,True,No,UP16,2023 Maruti BREZZA ZXI SMART HYBRID
Maruti,BREZZA ZXI SMART HYBRID,Manual,2023,,Petrol,1462.0,22737,1st owner,1146000,21804,False,No,TS05,2023 Maruti BREZZA ZXI SMART HYBRID
Maruti,BREZZA ZXI SMART HYBRID,Manual,2023,,Petrol,1462.0,18693,1st owner,1146000,21807,True,No,TS07,2023 Maruti BREZZA ZXI SMART HYBRID
Maruti,BREZZA ZXI SMART HYBRID,Manual,2023,,Petrol,1462.0,12891,1st owner,1146000,21807,False,No,TS24,2023 Maruti BREZZA ZXI SMART HYBRID
Maruti,Baleno ZETA 1.2 AGS,Automatic,2023,,Petrol,1197.0,1624,1st owner,866000,16484,True,No,MH03,2023 Maruti Baleno ZETA 1.2 AGS
Maruti,Alto VXI PLUS,Manual,2023,,Petrol,796.0,29652,1st owner,445000,8702,True,No,TS07,2023 Maruti Alto VXI PLUS
Maruti,Alto K10 VXI PLUS AMT,Automatic,2023,,Petrol,998.0,6675,2nd owner,568000,11112,True,No,KA53,2023 Maruti Alto K10 VXI PLUS AMT
Maruti,Alto K10 VXI PLUS AMT,Automatic,2023,,Petrol,998.0,15262,1st owner,565000,11037,False,No,TS15,2023 Maruti Alto K10 VXI PLUS AMT
Maruti,Alto K10 VXI PLUS AMT,Automatic,2023,,Petrol,998.0,8023,1st owner,559000,10929,True,No,TS08,2023 Maruti Alto K10 VXI PLUS AMT
Maruti,Alto K10 VXI PLUS,Manual,2023,,Petrol,998.0,9152,1st owner,541000,10586,True,No,KA25,2023 Maruti Alto K10 VXI PLUS
Maruti,Alto K10 VXI PLUS,Manual,2023,,Petrol,998.0,5654,1st owner,550000,10753,True,No,KA05,2023 Maruti Alto K10 VXI PLUS
Maruti,Alto K10 VXI AMT,Automatic,2023,,Petrol,998.0,3136,1st owner,544000,10635,True,No,KA50,2023 Maruti Alto K10 VXI AMT
Maruti,Alto K10 VXI,Manual,2023,1/4/2023,Petrol,998.0,21607,1st owner,467000,9130,True,No,DL7C,2023 Maruti Alto K10 VXI
Maruti,Alto K10 VXI,Manual,2023,1/9/2023,Petrol,998.0,7540,1st owner,466000,9119,True,Yes,UP16,2023 Maruti Alto K10 VXI
Maruti,Alto K10 LXI,Manual,2023,1/5/2023,Petrol,998.0,14943,1st owner,445000,8700,False,No,DL14,2023 Maruti Alto K10 LXI
Mahindra,XUV700 AX 7 LUXURY P AT 7 STR,Automatic,2023,,Petrol,1997.0,11330,1st owner,2487000,47338,True,No,KA01,2023 Mahindra XUV700 AX 7 LUXURY P AT 7 STR
Mahindra,XUV700 AX 3 P AT 5 STR,Automatic,2023,,Petrol,1997.0,16638,1st owner,1831000,34851,True,Yes,KA05,2023 Mahindra XUV700 AX 3 P AT 5 STR
Mahindra,XUV300 W8 (O) 1.5 DIESEL,Manual,2023,1/5/2023,Diesel,1497.0,6428,1st owner,1400000,26648,True,Yes,UP16,2023 Mahindra XUV300 W8 (O) 1.5 DIESEL
Mahindra,XUV300 W8 (O) 1.2 PETROL AMT,Automatic,2023,,Petrol,1197.0,5990,1st owner,1257000,23920,True,Yes,KA01,2023 Mahindra XUV300 W8 (O) 1.2 PETROL AMT
Mahindra,XUV300 W8 (O) 1.2 PETROL,Manual,2023,1/5/2023,Petrol,1197.0,12061,1st owner,1128000,21467,True,No,UP65,2023 Mahindra XUV300 W8 (O) 1.2 PETROL
Mahindra,XUV300 W6 1.2 PETROL,Manual,2023,,Petrol,1197.0,10190,1st owner,966000,18387,True,No,KA04,2023 Mahindra XUV300 W6 1.2 PETROL
Mahindra,Thar LX PETROL HT 4WD AT,Automatic,2023,,Petrol,1997.0,7136,1st owner,1605000,30550,True,No,KA41,2023 Mahindra Thar LX PETROL HT 4WD AT
Mahindra,Thar LX P 2WD AT HT,Automatic,2023,,Petrol,1997.0,11796,1st owner,1445000,27504,False,Yes,KA05,2023 Mahindra Thar LX P 2WD AT HT
Mahindra,Thar LX D 4*4 MT HT,Manual,2023,,Diesel,2184.0,21597,1st owner,1596000,30378,False,Yes,KA41,2023 Mahindra Thar LX D 4*4 MT HT
KIA,SONET X LINE 1.0 DCT,Automatic,2023,,Petrol,998.0,5703,1st owner,1338000,25468,False,No,KA03,2023 KIA SONET X LINE 1.0 DCT
KIA,SONET HTK PLUS 1.2,Manual,2023,1/2/2023,Petrol,1197.0,7907,1st owner,898000,17093,True,Yes,DL12,2023 KIA SONET HTK PLUS 1.2
KIA,SONET HTK PLUS 1.2,Manual,2023,,Petrol,1197.0,36373,1st owner,898000,17085,True,No,TS21,2023 KIA SONET HTK PLUS 1.2
KIA,SELTOS HTK 1.5 PETROL,Manual,2023,,Petrol,1497.0,4607,1st owner,1237000,23545,True,No,TS08,2023 KIA SELTOS HTK 1.5 PETROL
KIA,CARENS PRESTIGE 1.4 PETROL 7 STR,Manual,2023,,Petrol,1482.0,10235,1st owner,1266000,24097,True,Yes,KA05,2023 KIA CARENS PRESTIGE 1.4 PETROL 7 STR
Hyundai,VENUE S(O) 1.2,Manual,2023,,Petrol,1197.0,21510,1st owner,944000,17968,False,No,TS08,2023 Hyundai VENUE S(O) 1.2
Hyundai,NEW I20 ASTA (O) 1.2 MT,Manual,2023,1/3/2023,Petrol,1197.0,20051,1st owner,890000,16940,True,Yes,DL7C,2023 Hyundai NEW I20 ASTA (O) 1.2 MT
Hyundai,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Manual,2023,1/5/2023,Petrol,1197.0,15568,1st owner,689000,13470,True,No,DL9C,2023 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT
Hyundai,GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,Manual,2023,1/8/2023,Petrol,1197.0,2850,1st owner,710000,13881,False,No,DL10,2023 Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT
Hyundai,Creta SX (O) IVT 1.5 PETROL,Automatic,2023,,Petrol,1497.0,14590,1st owner,1698000,32320,False,No,TS07,2023 Hyundai Creta SX (O) IVT 1.5 PETROL
